ID,# of RTs,HashTags,TweetIds,Date,Replier Ids,Retweeted Distinct Ids,Tweets,Urls in Tweet,Username,,
49,0,"NBCCT, Clinton",7.96E+017,11/8/2016 22:11:00,,,"I just told #NBCCT I voted today for Hillary #Clinton. Follow @nbcconnecticut for the latest election news.
",https://cards.twitter.com/cards/qfd5tf/2iy9a,boombayhun,,
50,4,"ImWitHer, JustDoIt, StrongerTogether, NeverTrump",7.96E+017,11/8/2016 0:16:00,,7.88E+017,Ya'll better got vote! And when I say vote I mean Clinton.,,HHilwati,,
51,273,,7.96E+017,11/6/2016 20:17:00,,3308751112,"If Clinton wins, I'm leaving the country. If Trump wins, I'm leaving the country. This isn't a political tweet I just want to travel.",,xoxxoalee,,
52,0,,7.96E+017,11/8/2016 22:11:00,,,Hackers Tried To Bring Down Clinton And Trump Sites With Devastating Failed Cyberattack,http://fb.me/5aElKA7vH,Anonymous_API,,
53,0,"vote, ivoted",7.96E+017,11/8/2016 22:11:00,,,clinton will most likely win for the simple fact that her name is 1st on the…,https://www.instagram.com/p/BMkL_9ujKYb/,MoneyProv,,
54,0,,7.96E+017,11/8/2016 22:11:00,,,"Veo que Clinton tampoco es mucho mejor que Trump, pero..",,moliii26,,
55,187,,7.96E+017,11/8/2016 22:08:00,,128026196,OMG Donald Trump just texted this to me. Does he already know I voted for Clinton?,,LukeDiguardi,,
56,43,VOTERFRAUD,7.96E+017,11/8/2016 22:00:00,,50523105,"ENDLESS 

Votes flipped from Trump to Clinton in Pennsylvania.",https://t.co/TeDuk0Iu3D,ProChoiceKills,,
57,4503,"MannequinChallenge, ElectionDay",7.96E+017,11/8/2016 17:05:00,,583253271,Hillary Clinton doing the #MannequinChallenge on #ElectionDay ?????????,,KimiaGrgl,,
58,1330,,7.96E+017,11/8/2016 21:34:00,,2938758358,PA VOTERS REPORT SEEING TRUMP VOTES SWITCH TO CLINTON BEFORE THEIR EYES…,http://cbsloc.al/2eSS8ws,Angelo_Schiro,,
59,0,,7.96E+017,11/8/2016 22:11:00,,,PRESIDENTIAL ELECTION  TOO CLOSE TO CALL. 50/50 chance of Clinton and Trump becoming President,,brovian93,,
60,0,,7.96E+017,11/8/2016 22:11:00,,,Hillary Clinton has enough electoral votes to win the White House in final Fix map,http://wpo.st/LRjC2,scottishfirst,,
61,17,,7.96E+017,11/8/2016 19:30:00,,3270388825,BERNIE SANDERS WAS JUST A SWEET OLD MAN WHO WANTED THE BEST FOR US BUT NOW WE HAVE TO VOTE BETWEEN HEADASS 1 OR HEADASS 2 BECAUSE OF Y'ALL,,_daiiso,,
62,15104,,7.96E+017,11/8/2016 19:37:00,,362635160,I can't fill in for every worker today. Election Day should be a national holiday so that everyone has the opportun…,,kdskipper,,
63,2502,,7.96E+017,11/8/2016 17:15:00,,2780816970,"A lot of people aren't going to like this, but I wrote in Bernie Sanders:",,settroit,,
64,503,,7.96E+017,11/8/2016 21:27:00,,3411380380,It means yall shoulda fuckin listened &amp, kept Bernie Sanders as an option cause now we all look dumb af choosing bet…,,rexmc12,
65,1565,,7.96E+017,11/8/2016 18:21:00,,2826970614,Bernie sanders.,https://twitter.com/malick_the_mffl/status/796054655944036356,chandlerhaynes2,,
66,1,,7.96E+017,11/8/2016 22:07:00,,18510860,"Once more for the ""Mother Jones is rolling over in her grave"" crowd…",https://twitter.com/timothypmurphy/status/796111658196287488,MotherJones,,
67,811,,7.96E+017,11/8/2016 19:36:00,,2207996396,Still voting for Bernie Sanders ?????? gang gang,,meli__30,,
68,2062,"ElectionDay, Voted",7.96E+017,11/8/2016 15:34:00,,350334606,"?BREAKING: Bernie Sanders endorses Trump!

",https://t.co/T0WABRscjt,Linda__Idaho,,
69,0,,7.96E+017,11/8/2016 22:12:00,,,What happened to Bernie sanders?,,victoriawaiteee,,
70,2970,,7.96E+017,11/8/2016 18:05:00,,2716280915,Bernie Sanders Fills In For Factory Worker Unable To Take Time Off To Vote,http://trib.al/MPcBElA,MauricioJ_13,,
71,0,Vote2016,7.96E+017,11/8/2016 22:14:00,,,Quick im at the poll!! If I wrote in Bernie Sanders what's the chance he has to win? @SenSanders,,ItsMeTashia,,
72,1,,7.96E+017,11/8/2016 22:01:00,7.96E+017,4864402683,"@BernieSanders @adrianweckler If a person's morally entitled to be POTUS it's Bernie Sanders, no matter who's in the WH next week ! BERNIE!!",,march4progress,,
73,0,"feelthebern, vote",7.96E+017,11/8/2016 22:14:00,,,#feelthebern let's keep this guy around as long as possible. He's gonna be a big player once Dems take senate.,https://twitter.com/Telegraph/status/796107048802992128,JeremyCummings3,,
74,167,,7.96E+017,11/8/2016 9:53:00,,493715356,Don't forget that Bernie Sanders intentionally did NOT register as a write in candidate and if you vote for him it does not COUNT AT ALL,,flyseokjin,,
